id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,12.0107,0
4,12.0107,0
5,30.973761,0
6,12.0107,0
7,12.0107,0
8,12.0107,0
9,12.0107,0
10,12.0107,0
11,12.0107,0
12,12.0107,0
13,12.0107,0
14,12.0107,0
15,12.0107,0
16,12.0107,0
17,12.0107,0
18,12.0107,0
19,78.96,0
20,78.96,0
21,78.96,0
22,0,1.36452004748923
23,0,1.3981687809417
24,0,1.92518698052942
25,0,1.37439419745574
26,0,1.38600174963815
27,0,1.38535571244356
28,0,1.40815110339764
29,0,2.27155172074069
30,0,2.27158734588833
31,0,2.27155527777776
32,0,1.39812827022416
33,0,1.36452659922773
34,0,1.92511708994544
35,0,1.39815496279919
36,0,1.36451635387781
37,0,1.92509496389139
38,0,1.38602869017925
39,0,1.38602935033859
40,0,1.37438855132019
41,0,1.37444025333952
42,0,1.38540201024829
43,0,1.38540250108046
44,0,1.4081417861849
45,0,1.40819325378302
