from,to,weight
0,98,0
98,3,0
31,99,0
99,29,0
0,100,0
100,34,0
1,101,0
101,4,0
32,102,0
102,30,0
1,103,0
103,35,0
2,104,0
104,24,0
2,105,0
105,25,0
2,106,0
106,26,0
2,107,0
107,50,0
3,108,0
108,6,0
49,109,0
109,50,0
4,110,0
110,7,0
48,111,0
111,50,0
5,112,0
112,45,0
47,113,0
113,31,0
5,114,0
114,28,0
46,115,0
115,32,0
6,116,0
116,8,0
43,117,0
117,50,0
7,118,0
118,9,0
39,119,0
119,31,0
8,120,0
120,11,0
39,121,0
121,33,0
9,122,0
122,12,0
38,123,0
123,32,0
10,124,0
124,13,0
38,125,0
125,53,0
10,126,0
126,28,0
20,127,0
127,52,0
11,128,0
128,14,0
11,129,0
129,34,0
12,130,0
130,15,0
12,131,0
131,35,0
13,132,0
132,45,0
20,133,0
133,42,0
20,134,0
134,37,0
14,135,0
135,16,0
14,136,0
136,17,0
14,137,0
137,53,0
15,138,0
138,18,0
15,139,0
139,33,0
15,140,0
140,27,0
19,141,0
141,51,0
19,142,0
142,41,0
19,143,0
143,36,0
17,144,0
144,36,0
18,145,0
145,37,0
40,146,0
146,42,0
23,147,0
147,46,0
23,148,0
148,39,0
23,149,0
149,35,0
22,150,0
150,47,0
22,151,0
151,38,0
22,152,0
152,34,0
22,153,0
153,23,0
21,154,0
154,37,0
21,155,0
155,36,0
21,156,0
156,23,0
21,157,0
157,22,0
8,158,0
158,54,0
7,159,0
159,55,0
6,160,0
160,56,0
44,161,0
161,75,0
44,162,0
162,76,0
5,163,0
163,90,0
5,164,0
164,77,0
4,165,0
165,57,0
3,166,0
166,58,0
51,167,0
167,59,0
51,168,0
168,60,0
51,169,0
169,61,0
52,170,0
170,62,0
52,171,0
171,63,0
52,172,0
172,64,0
53,173,0
173,65,0
53,174,0
174,66,0
33,175,0
175,67,0
33,176,0
176,68,0
1,177,0
177,87,0
0,178,0
178,88,0
30,179,0
179,69,0
30,180,0
180,70,0
30,181,0
181,71,0
29,182,0
182,72,0
29,183,0
183,73,0
29,184,0
184,74,0
28,185,0
185,91,0
28,186,0
186,92,0
27,187,0
187,95,0
27,188,0
188,96,0
27,189,0
189,97,0
9,190,0
190,89,0
10,191,0
191,78,0
10,192,0
192,93,0
13,193,0
193,79,0
13,194,0
194,94,0
16,195,0
195,80,0
16,196,0
196,81,0
16,197,0
197,82,0
18,198,0
198,86,0
18,199,0
199,85,0
17,200,0
200,83,0
17,201,0
201,84,0
